词汇(value),类型(entity),分类(category),备注(note),启用(enabled)
[企业全称],ORGANIZATION,企业名称,请填写企业工商注册全称,1
[企业简称],ORGANIZATION,企业简称,请填写企业常用简称,1
[高管姓名1],PERSON,高管姓名,请填写高管姓名（如：CEO/CTO/财务总监等）,1
[高管姓名2],PERSON,高管姓名,请填写更多高管姓名,1
[产品名称1],CUSTOM_TERM,产品名称,请填写企业主要产品或服务名称,1
[产品名称2],CUSTOM_TERM,产品名称,请填写更多产品名称,1
[项目代号],CUSTOM_TERM,项目代号,请填写内部项目代号或系统名称,1
[客户名称],CUSTOM_TERM,客户名称,请填写主要客户企业名称,1
[供应商名称],CUSTOM_TERM,供应商名称,请填写主要供应商名称,1
[合作伙伴],CUSTOM_TERM,合作伙伴,请填写重要合作伙伴名称,1
[部门名称],CUSTOM_TERM,部门名称,请填写内部敏感部门名称,1
[内部系统],CUSTOM_TERM,内部系统,请填写内部系统名称（如ERP/OA/CRM等）,1
